sample_id,arch_code,sample_node,energy
134,"[0, 0, 1, 1, 1, 0, 2, 3, 1, 5, 5, 1]",random,-0.7997909393874533
135,"[1, 1, 0, 1, 1, 0, 5, 2, 3, 1, 0, 0]",random,-0.4331865926444133
136,"[1, 1, 0, 1, 0, 0, 2, 3, 4, 4, 0, 1]",random,-1.2240840907629051
137,"[0, 1, 1, 1, 0, 1, 2, 2, 1, 5, 2, 0]",random,-0.34177431339908454
138,"[1, 1, 1, 0, 1, 0, 2, 5, 3, 2, 5, 3]",random,-0.7973450156397854
139,"[0, 0, 0, 0, 0, 0, 1, 3, 5, 1, 1, 0]",random,-1.2429152808265038
140,"[0, 1, 0, 1, 0, 1, 5, 4, 4, 1, 1, 0]",random,-0.9374342643371939
141,"[0, 0, 0, 0, 0, 1, 1, 2, 5, 2, 2, 1]",random,-1.2330764485396695
142,"[0, 0, 1, 1, 1, 0, 5, 0, 1, 1, 5, 0]",random,-1.280520595404371
143,"[1, 1, 0, 1, 0, 0, 1, 4, 4, 4, 1, 3]",random,-1.2086156806799235
144,"[1, 1, 0, 1, 0, 0, 1, 5, 5, 1, 2, 1]",random,0.017766429503023543
145,"[0, 0, 0, 1, 0, 1, 1, 2, 4, 0, 3, 3]",random,-0.4666548360972421
146,"[1, 1, 0, 0, 0, 0, 3, 4, 0, 0, 1, 2]",random,-0.6168084455001336
147,"[1, 0, 0, 0, 0, 1, 3, 5, 5, 0, 2, 4]",random,0.0682236192605197
148,"[1, 1, 1, 1, 0, 0, 5, 3, 3, 4, 0, 0]",random,-0.6454689775033413
149,"[0, 0, 0, 0, 1, 0, 5, 0, 0, 5, 0, 0]",random,-0.7780978598851102
150,"[0, 1, 0, 0, 1, 1, 4, 3, 3, 1, 2, 3]",random,-0.6542033723471422
151,"[0, 0, 1, 1, 0, 1, 5, 2, 3, 2, 0, 0]",random,-0.594103989434176
152,"[0, 0, 0, 1, 1, 1, 2, 0, 0, 1, 3, 2]",random,-0.4287890935585359
153,"[1, 0, 0, 1, 1, 1, 3, 3, 3, 5, 2, 3]",random,-0.7886862262870877
154,"[0, 0, 0, 0, 1, 1, 3, 2, 3, 2, 1, 3]",random,-0.4084812096847826
155,"[1, 0, 1, 0, 0, 0, 4, 4, 1, 5, 5, 0]",random,-0.9226436093944651
156,"[1, 1, 0, 0, 1, 0, 4, 2, 5, 0, 2, 3]",random,-1.1682648348292286
157,"[0, 1, 1, 0, 1, 0, 3, 3, 3, 2, 0, 2]",random,-0.8696836869986452
158,"[0, 0, 1, 1, 0, 1, 1, 2, 0, 2, 1, 1]",random,-0.4590267648081074
159,"[0, 0, 0, 0, 1, 0, 1, 4, 0, 2, 0, 1]",random,-1.1627280391950567
160,"[1, 0, 1, 1, 1, 0, 5, 3, 0, 1, 0, 2]",random,-0.9642872070307554
161,"[1, 1, 0, 1, 1, 0, 1, 3, 5, 4, 1, 2]",random,-0.8368182458697572
162,"[1, 1, 0, 1, 0, 1, 3, 3, 5, 5, 3, 2]",random,-1.1728493529735635
163,"[1, 1, 1, 0, 1, 0, 2, 2, 3, 2, 2, 4]",random,-0.9925423724963554
164,"[1, 0, 1, 1, 1, 1, 4, 3, 1, 0, 3, 0]",random,-1.2175416610449072
165,"[1, 0, 1, 0, 1, 0, 5, 4, 0, 5, 3, 1]",random,-0.5861276167584549
166,"[1, 1, 0, 1, 1, 1, 4, 2, 3, 0, 2, 1]",random,-0.8691323521621543
167,"[1, 1, 0, 0, 0, 0, 4, 3, 0, 0, 0, 4]",random,-1.2359389983991371
168,"[0, 0, 0, 1, 1, 0, 1, 5, 0, 2, 0, 0]",random,-1.2495727120089497
169,"[1, 1, 0, 0, 0, 1, 1, 5, 1, 4, 1, 2]",random,-0.6470222451908562
170,"[0, 1, 0, 0, 0, 0, 4, 5, 0, 0, 1, 4]",random,-0.6697030301753494
171,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 2]",random,-0.6149240199950542
172,"[0, 1, 1, 1, 1, 0, 5, 2, 5, 1, 1, 0]",random,-0.5752651388844856
173,"[1, 0, 0, 0, 1, 1, 3, 5, 3, 4, 1, 2]",random,-0.6014691338298024
174,"[1, 1, 0, 0, 0, 0, 2, 2, 3, 5, 3, 1]",random,-0.6603657085925208
175,"[1, 1, 1, 0, 0, 0, 3, 4, 4, 4, 1, 3]",random,-0.8070722547660822
176,"[1, 1, 0, 0, 0, 0, 4, 5, 1, 1, 1, 3]",random,-0.6257751499115592
177,"[0, 0, 0, 1, 1, 1, 2, 3, 1, 4, 1, 2]",random,-1.1078781824035622
178,"[1, 1, 0, 0, 0, 0, 3, 3, 1, 2, 0, 2]",random,-0.549924965211916
179,"[1, 1, 1, 1, 0, 1, 5, 0, 5, 2, 2, 1]",random,-0.24936876481600997
180,"[1, 1, 0, 1, 1, 0, 4, 3, 4, 4, 3, 3]",random,-1.156328109280351
181,"[0, 1, 0, 1, 1, 1, 1, 5, 0, 0, 0, 4]",random,-0.8775263698674024
182,"[0, 0, 0, 1, 0, 1, 5, 4, 5, 0, 2, 2]",random,-0.7241347677073448
183,"[1, 0, 1, 0, 0, 1, 3, 3, 5, 1, 3, 1]",random,-0.815919730729517
184,"[1, 0, 1, 1, 0, 0, 5, 5, 0, 4, 2, 3]",random,-1.202428240862821
185,"[0, 0, 1, 1, 0, 1, 5, 3, 4, 4, 2, 1]",random,-1.174377286247504
186,"[1, 1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 2]",random,-0.6314133228824753
187,"[0, 1, 1, 1, 0, 1, 1, 2, 3, 1, 0, 2]",random,-0.8851418388579313
188,"[1, 1, 0, 1, 0, 0, 5, 2, 5, 4, 3, 3]",random,-0.7688176186819422
189,"[1, 1, 1, 0, 0, 0, 5, 0, 5, 0, 1, 2]",random,-0.9544449965324578
190,"[0, 1, 1, 1, 1, 0, 5, 3, 3, 0, 0, 0]",random,-0.6119011482066277
